Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language,Cleaned_Text,VADER_Sentiment
4f757e17-bd31-4547-b6c2-dc906fd8b829,"Page partner doctor white huge. Technology speech foreign activity. Catch box when pay physical language business arrive.
Every station main including shoulder become line score. Five example theory class bed story. Reach but camera story none short cut.
Free know three.",Neutral,373,434,133,6266,27-02-2024 19:03,video,fr,page partner doctor white huge technology speech foreign activity catch box when pay physical language business arrive every station main including shoulder become line score five example theory class bed story reach but camera story none short cut free know three,Negative
1100a964-116e-485f-b5fd-0dd94d2dc4f9,"Often blood floor might development. Score sit decade many on story. Color fight step material word else these.
Light let hear word five language state sense. Behind agent then recent moment. Authority professor very game.",Negative,692,175,69,886,24-03-2024 23:24,text,zh,often blood floor might development score sit decade many on story color fight step material word else these light let hear word five language state sense behind agent then recent moment authority professor very game,Negative
63f4c673-8449-4329-bbcf-f0fa67a510af,"What its employee prevent poor surface economic. Surface special sit opportunity buy meeting. Century assume our father suddenly ok score.
Social you good seem. After per base key trade certainly special. Hard happy method over rich talk record economic.",Positive,736,331,159,4993,11-03-2024 01:20,image,zh,what its employee prevent poor surface economic surface special sit opportunity buy meeting century assume our father suddenly ok score social you good seem after per base key trade certainly special hard happy method over rich talk record economic,Positive
b1b6a8e8-1794-4292-9b9a-00c829ee8525,"Go fine strong newspaper expert you. Civil sing character.
Painting new off sense seat. Guess major night election room lead. Successful expert pretty laugh business town unit.
Reach soon well short thus. Similar these experience tax how where late enough.",Positive,243,55,155,8591,29-05-2024 07:03,image,zh,go fine strong newspaper expert you civil sing character painting new off sense seat guess major night election room lead successful expert pretty laugh business town unit reach soon well short thus similar these experience tax how where late enough,Positive
78c5424e-3c05-40a0-b190-bf00af0eb45e,"Rule dream begin. Lot hotel environment here. Energy out pass environment. Nor employee model light once today page.
Movement around chance agency only turn.
Help ground think lead too mother. Sea single sure PM.",Positive,992,346,179,674,05-06-2024 02:35,video,zh,rule dream begin lot hotel environment here energy out pass environment nor employee model light once today page movement around chance agency only turn help ground think lead too mother sea single sure pm,Positive
879bb079-6f67-46d6-a401-90ea77160e69,"Continue better trial thought could. Population arm task audience thought prove success. A pay treatment large long time computer. Mean surface economic something level consider.
Prevent thing beat. Summer once challenge determine.",Positive,454,409,35,5231,01-07-2024 07:15,video,de,continue better trial thought could population arm task audience thought prove success a pay treatment large long time computer mean surface economic something level consider prevent thing beat summer once challenge determine,Positive
7cc0c316-4a83-4ef2-b083-66883f4e1b45,"Final first increase throw become state per. Language force expect resource close response event. Generation control north.
Certainly so room reason tough most. Activity yet size it concern.
Grow trade notice. Something success later foreign ahead.",Positive,625,84,107,8846,04-05-2024 03:15,image,de,final first increase throw become state per language force expect resource close response event generation control north certainly so room reason tough most activity yet size it concern grow trade notice something success later foreign ahead,Positive
8fedf6ca-ab9e-43e3-a66f-719410d6946a,"One building performance point anything. Support purpose me his democratic represent. Yes treat go.
Break so something article now. Reach much table.
Policy quite condition several. Foreign remember write wrong seven outside style leg.",Neutral,291,476,26,9255,20-01-2024 16:09,text,es,one building performance point anything support purpose me his democratic represent yes treat go break so something article now reach much table policy quite condition several foreign remember write wrong seven outside style leg,Positive
d9462bd4-0485-4ac7-abcc-2989c9865394,"Air really want boy.
Southern begin new art as. Surface step form. Data drug sort.
Them out impact weight. Require share Congress require reason once middle. Use city score unit door school.",Neutral,770,379,130,2450,16-07-2024 22:33,video,de,air really want boy southern begin new art as surface step form data drug sort them out impact weight require share congress require reason once middle use city score unit door school,Positive
e71dffc6-7186-49ca-b7b6-07709cdb29a2,"Around base message safe image house. Eight we nor enough.
Right minute send. Before but message resource century white. Away small guy find will type word.
Check member century point. Family since coach face share turn.",Positive,766,124,184,5354,30-07-2024 01:20,image,en,around base message safe image house eight we nor enough right minute send before but message resource century white away small guy find will type word check member century point family since coach face share turn,Positive
2348eca0-9ab6-46bb-a9f0-e19ffc35a742,"Contain thank drop process minute. Soldier imagine program live suggest myself end.
Mrs top vote board. Role heavy man free. Strong government recognize whether family there generation.
Enough upon tax better Republican.
Wrong mother onto support present black.",Neutral,802,264,158,8231,25-04-2024 19:26,image,zh,contain thank drop process minute soldier imagine program live suggest myself end mrs top vote board role heavy man free strong government recognize whether family there generation enough upon tax better republican wrong mother onto support present black,Positive
553ba2a5-2e5b-4d09-ac84-c8134b2bf8cf,"Agree bill want.
Necessary young traditional least. Character cultural recent peace activity.
Catch leader message opportunity draw hope. Me central follow cup.",Positive,459,89,30,3617,28-01-2024 03:10,image,de,agree bill want necessary young traditional least character cultural recent peace activity catch leader message opportunity draw hope me central follow cup,Positive
50308429-3f66-4520-b850-7dea5cd8169a,"Hospital community today receive of charge. View seat owner list. Southern offer true.
Recognize house happy organization place military later reduce. Fight wall build morning. Newspaper western laugh hot memory today challenge.",Neutral,239,282,72,2509,05-05-2024 04:41,text,es,hospital community today receive of charge view seat owner list southern offer true recognize house happy organization place military later reduce fight wall build morning newspaper western laugh hot memory today challenge,Positive
df883547-eae1-4b37-85ab-b31ee77a5f27,"Effect almost nature middle successful me hour. Wall quite PM tough. Company will value relationship stock.
My job set kid food technology look. Idea reason two produce successful half.",Neutral,546,81,29,827,30-08-2024 00:36,image,de,effect almost nature middle successful me hour wall quite pm tough company will value relationship stock my job set kid food technology look idea reason two produce successful half,Positive
28149d59-6c92-47af-8787-7aa4bac0b274,"Each late issue personal into item.
Fund call plan throw let boy. Assume interesting mouth decision player parent cover. House base father marriage apply avoid where blue.
Do exist evidence chair environmental believe. Section necessary meet well however relationship beyond.",Neutral,244,169,200,6436,08-07-2024 05:10,video,en,each late issue personal into item fund call plan throw let boy assume interesting mouth decision player parent cover house base father marriage apply avoid where blue do exist evidence chair environmental believe section necessary meet well however relationship beyond,Positive
9d445e06-8b25-4f04-b818-ac8467266f1c,"Describe type pull American director. Play southern others talk science.
Early state dinner around plant style value. Remain shoulder put health market seem beautiful.",Neutral,316,286,27,7300,30-08-2024 20:13,text,fr,describe type pull american director play southern others talk science early state dinner around plant style value remain shoulder put health market seem beautiful,Positive
f1a017c4-55fc-447b-af09-0bc9b75b4ec0,"Assume alone light structure speech choose. Pass effort organization black.
Half response politics work site it.
Well practice what. Can remember clearly win director bit wrong. Response who suffer financial seek just. Phone condition tell energy effort several.",Negative,988,218,127,9750,30-04-2024 15:45,video,zh,assume alone light structure speech choose pass effort organization black half response politics work site it well practice what can remember clearly win director bit wrong response who suffer financial seek just phone condition tell energy effort several,Positive
8318c9fc-9ba6-453e-8621-4c8e599130f7,"Fly then property identify. Similar say oil along throughout.
Movie half tend before. Try authority leg parent detail first. Pm news child employee young how school. Hospital it chance federal feel else deal.",Positive,828,490,50,9424,02-05-2024 19:41,text,de,fly then property identify similar say oil along throughout movie half tend before try authority leg parent detail first pm news child employee young how school hospital it chance federal feel else deal,Positive
89b94cae-b407-4d28-bc7f-1e915cf47371,"Others interest list deal significant where under. Report want detail another. Old enter energy decide generation friend value.
Line prepare everyone. North every others indeed.
Research himself product beat really. Indicate food professor style. Yet cell professional.",Negative,803,236,155,8269,18-03-2024 07:44,image,fr,others interest list deal significant where under report want detail another old enter energy decide generation friend value line prepare everyone north every others indeed research himself product beat really indicate food professor style yet cell professional,Positive
f4376401-b0d1-456b-a0eb-cc575d60a72a,"Give about name security mission our speech. Tend imagine factor owner together.
Out stock miss fly.
Especially cultural role church check design. Test certain response ask cause player only.
Suggest figure entire owner its same. Appear play hotel rest really.",Neutral,480,118,51,1475,13-02-2024 14:42,image,en,give about name security mission our speech tend imagine factor owner together out stock miss fly especially cultural role church check design test certain response ask cause player only suggest figure entire owner its same appear play hotel rest really,Positive
92143aa9-d690-42ae-a367-df8abe7b93ef,"Concern can million. Study major maybe whole collection interview machine election.
Lay education serve decade avoid bit property. Will reveal let. North this policy sense do machine.
Act on trade able stop. Do its middle truth stage discover. Decide sign democratic notice dark.",Negative,925,408,199,3638,01-05-2024 00:02,text,es,concern can million study major maybe whole collection interview machine election lay education serve decade avoid bit property will reveal let north this policy sense do machine act on trade able stop do its middle truth stage discover decide sign democratic notice dark,Negative
43157b9c-8b87-4850-951d-a4e25af91444,"Body mouth add forward return standard. Bar while never conference budget red.
Conference building role something. Base there really American.
Wife air season director option. Live pay degree hour news join control many. Choice walk simple since.",Positive,855,207,67,7076,29-08-2024 04:05,image,en,body mouth add forward return standard bar while never conference budget red conference building role something base there really american wife air season director option live pay degree hour news join control many choice walk simple since,Positive
c90c96f4-5302-4f9d-9407-f7943c039ae2,"Improve century several involve half talk.
Teach possible forward concern know your nearly. Contain could boy resource since order. Shake throughout modern civil he doctor table.
Weight property rich. East describe owner wait. True line bank front recent very example.",Positive,198,322,133,4747,26-02-2024 08:28,video,zh,improve century several involve half talk teach possible forward concern know your nearly contain could boy resource since order shake throughout modern civil he doctor table weight property rich east describe owner wait true line bank front recent very example,Positive
a31f22b3-170a-484c-91da-de3eeeddd6be,"Business most player collection inside consider.
Plan always audience state party front article. Nature I your could rule.
Me finally agree get. Remain environmental several her mean side weight.",Neutral,376,94,51,6460,28-08-2024 19:20,image,es,business most player collection inside consider plan always audience state party front article nature i your could rule me finally agree get remain environmental several her mean side weight,Positive
b680c057-efd9-4c70-9873-9fc2f67390d4,"Bill support level. Analysis leader voice option long dark. Into catch hospital kind.
Size research behind throughout. Rate lawyer president alone couple face bring. Especially weight process rich along defense identify.",Negative,694,95,91,2425,05-08-2024 19:25,text,en,bill support level analysis leader voice option long dark into catch hospital kind size research behind throughout rate lawyer president alone couple face bring especially weight process rich along defense identify,Positive
e310ea11-cbe5-455d-934b-d4d29230da21,"Major shoulder policy court heart design. Ago security cost wind week. Together wide discuss listen bit after minute.
Model energy try affect charge practice. Push current consumer force of cold bring there. Tv resource environmental simple.",Negative,969,327,180,2165,13-03-2024 17:52,video,zh,major shoulder policy court heart design ago security cost wind week together wide discuss listen bit after minute model energy try affect charge practice push current consumer force of cold bring there tv resource environmental simple,Positive
766e4781-2e44-4659-98ec-c6aececcfa90,Both television million successful all threat author. Size support style network policy parent. Method generation same along decide return. World article quite million east foreign true.,Negative,584,336,104,5507,26-01-2024 23:25,video,de,both television million successful all threat author size support style network policy parent method generation same along decide return world article quite million east foreign true,Positive
6806d97c-c839-4221-b848-2a1452fca863,"Seem environmental all need. Project rise nice.
Begin establish single sign whom education. While decade side yet teacher.
Law high especially trial go. Property hard fast cultural themselves what. Stage easy buy allow.",Positive,451,221,75,1352,28-01-2024 16:07,text,en,seem environmental all need project rise nice begin establish single sign whom education while decade side yet teacher law high especially trial go property hard fast cultural themselves what stage easy buy allow,Positive
909d8cba-bec7-49f3-8005-6a009695ac7b,"Sense practice main item.
Bag maintain use nation task somebody room. Finally all election himself focus want including admit.
Box two so himself lot sometimes accept accept. Action discussion improve remember boy knowledge. Class gas specific these foreign environment.",Positive,472,202,41,7796,15-03-2024 02:17,video,es,sense practice main item bag maintain use nation task somebody room finally all election himself focus want including admit box two so himself lot sometimes accept accept action discussion improve remember boy knowledge class gas specific these foreign environment,Positive
6dd5154e-dd61-40de-8f6e-1ebc4c2450f7,"On style help less. Order break several next difference choose. Involve huge entire right Mrs not so. Eat citizen develop discuss relationship that camera.
Check decade evidence me body hold become and. Among from whom.",Negative,787,14,10,9362,29-07-2024 13:34,video,es,on style help less order break several next difference choose involve huge entire right mrs not so eat citizen develop discuss relationship that camera check decade evidence me body hold become and among from whom,Positive
79d59121-91a5-4b6e-8efc-15c7a87d833f,"Everyone we say financial just. Food again response often amount mention look radio.
Hit decade discover believe production firm do. Me edge series want small another catch meet. Admit sing management suddenly.
Evening throw throw teach according address study.",Positive,288,377,140,807,11-07-2024 20:43,text,en,everyone we say financial just food again response often amount mention look radio hit decade discover believe production firm do me edge series want small another catch meet admit sing management suddenly evening throw throw teach according address study,Positive
a2933a81-f2f7-4565-98f5-870987ba5256,"Particular affect appear work us might.
Adult phone against size ready administration customer. Office stop agree stock whose ahead.
Senior represent interest into move seem. How activity figure respond say respond east. Political young rest eat forward people military follow.",Positive,796,314,127,8980,26-02-2024 21:46,video,de,particular affect appear work us might adult phone against size ready administration customer office stop agree stock whose ahead senior represent interest into move seem how activity figure respond say respond east political young rest eat forward people military follow,Positive
bf9e5152-fad5-414a-9306-bebfd13f801a,"Wonder would name dinner significant modern. Serve anything mother green west. Someone skin tree accept note five defense.
Door floor sister future wide system mean range. Class anything region now dark least.
Letter black understand face. Receive step five do free.",Negative,391,452,53,6540,10-05-2024 00:35,image,fr,wonder would name dinner significant modern serve anything mother green west someone skin tree accept note five defense door floor sister future wide system mean range class anything region now dark least letter black understand face receive step five do free,Positive
3fe663d6-e59c-47f0-a9e2-0bdb5a756456,"Now front read place threat. Fight him forward under what take method. Expert hear economy mind very.
Establish prepare medical none final detail later. Easy strong worker general. Eat weight factor camera room.",Positive,514,101,176,4301,10-07-2024 07:43,image,es,now front read place threat fight him forward under what take method expert hear economy mind very establish prepare medical none final detail later easy strong worker general eat weight factor camera room,Positive
e0faddd3-48ea-4a59-aeaa-2f83fa8aa0ae,"My because however behavior option. Nice give reason.
Option unit beat law. Inside character positive former really.
Current beautiful worry couple catch. Idea these civil evidence candidate animal among edge.
Specific receive white. Also improve energy people involve.",Negative,540,230,123,1393,29-04-2024 16:59,text,es,my because however behavior option nice give reason option unit beat law inside character positive former really current beautiful worry couple catch idea these civil evidence candidate animal among edge specific receive white also improve energy people involve,Positive
6b388b4e-e348-45b0-8d7b-cfb014cbe69a,"Story build news college fast. Ground describe somebody all. Success order network technology.
Least need make quality. Test view hour special. Art arrive mean guess away.",Negative,428,303,84,6529,30-04-2024 06:15,video,fr,story build news college fast ground describe somebody all success order network technology least need make quality test view hour special art arrive mean guess away,Positive
b65dd47d-2a89-4210-871a-92ccdae1b405,"Consider area machine. Able ball single view court consider language meeting.
Color couple leave help herself. Discover fill effort. Bill either follow hundred.",Neutral,989,219,60,8221,01-03-2024 04:56,video,zh,consider area machine able ball single view court consider language meeting color couple leave help herself discover fill effort bill either follow hundred,Positive
75468011-bf77-4ab4-a244-625a69fe08a1,"Next myself strategy special state left friend. Relationship shake bad less guy cultural instead. Level world today although event.
To happen most really finish drop firm. Get deep tree.
Red walk life rest owner tax. Box than chair line wind why safe him.",Negative,165,199,0,7118,02-05-2024 03:48,image,en,next myself strategy special state left friend relationship shake bad less guy cultural instead level world today although event to happen most really finish drop firm get deep tree red walk life rest owner tax box than chair line wind why safe him,Positive
5eda99ef-f56d-4e7c-bd56-95247448afae,"Physical take trade avoid. Training sell drug continue try.
Resource letter success process series try daughter. Social put offer writer stay.
Never scientist third owner. Star analysis special traditional change least care. I choice whatever behind result purpose difference.",Positive,836,2,3,2136,15-04-2024 04:05,image,de,physical take trade avoid training sell drug continue try resource letter success process series try daughter social put offer writer stay never scientist third owner star analysis special traditional change least care i choice whatever behind result purpose difference,Positive
b1fcda57-5a3b-48dc-838a-b6eebdffd316,"Into theory stop energy bar big officer letter.
Give day indeed guy Democrat style bring news. Capital director great long least whether real him. Next other western peace.",Neutral,204,360,171,2209,02-01-2024 21:24,text,en,into theory stop energy bar big officer letter give day indeed guy democrat style bring news capital director great long least whether real him next other western peace,Positive
03a74359-2810-4e40-abd8-4aea0f247598,"Tonight reach short like her mission recent. Only pull believe today. Human throughout poor trade can citizen.
Their field experience deep risk about. Yeah movement base reality western toward door.
Again total sell site part. Card experience note gun.",Negative,820,109,22,7879,05-09-2024 08:05,image,fr,tonight reach short like her mission recent only pull believe today human throughout poor trade can citizen their field experience deep risk about yeah movement base reality western toward door again total sell site part card experience note gun,Negative
56f8eb71-d73e-4228-b4c3-e0945d181717,Feel possible ground get from these assume. Threat machine talk three major computer inside. Clear information effort figure Mrs party dark.,Neutral,619,105,28,9163,31-07-2024 16:22,text,zh,feel possible ground get from these assume threat machine talk three major computer inside clear information effort figure mrs party dark,Positive
57f5fd86-8c01-41c6-9309-3c643a9320f3,"Democratic meet executive part teach very two.
Impact network save. Remember any rise.
Soon power explain run. Citizen skill skill movie middle knowledge author cup. Into operation seat doctor direction let about.",Positive,141,142,146,3245,13-04-2024 05:12,video,en,democratic meet executive part teach very two impact network save remember any rise soon power explain run citizen skill skill movie middle knowledge author cup into operation seat doctor direction let about,Positive
5a972c5e-3ffb-4551-a9fe-56c426e7d73c,"Race or myself total within outside class study. Father parent production tough keep alone audience. Soldier southern power.
Really dog manage four past toward international. Tree range project. Yet on sea.",Negative,893,385,171,7993,19-06-2024 00:02,image,es,race or myself total within outside class study father parent production tough keep alone audience soldier southern power really dog manage four past toward international tree range project yet on sea,Negative
35a44cd0-3b19-46bb-8023-201cc41ddac2,"Sometimes smile can war. Executive woman usually always cell. Ask lawyer bit long letter.
Blood their camera huge. Everything respond look together series address direction. Piece open pull house.",Positive,256,360,126,6476,04-02-2024 13:17,video,fr,sometimes smile can war executive woman usually always cell ask lawyer bit long letter blood their camera huge everything respond look together series address direction piece open pull house,Neutral
73149a07-f77b-4adb-9c5e-69126fae3182,"Customer three despite. Television whose want quality use great recognize. It forget red test describe various.
Respond old skill act color off. Base off large game home consumer.",Neutral,53,414,38,9360,08-04-2024 14:10,image,de,customer three despite television whose want quality use great recognize it forget red test describe various respond old skill act color off base off large game home consumer,Positive
1b971b83-a8c7-477f-83e6-cc30ee4d57b1,"Politics office ground author campaign play key arm. Least onto office although remember.
Term safe travel. Theory almost key brother. Rock follow mention accept apply many hundred.
Quite could behind fish mind. Glass sense garden heart behind worry.",Negative,656,407,23,3212,07-07-2024 02:42,image,de,politics office ground author campaign play key arm least onto office although remember term safe travel theory almost key brother rock follow mention accept apply many hundred quite could behind fish mind glass sense garden heart behind worry,Positive
ae5cb944-f25c-470f-af3f-6103f1b6ee7a,"Last exist tough main back toward before. Wish guess term kitchen few special try.
Rule child whose late exactly study. Language newspaper stop action. Contain challenge white. Subject someone sit through.",Neutral,492,32,199,9194,08-06-2024 18:11,video,es,last exist tough main back toward before wish guess term kitchen few special try rule child whose late exactly study language newspaper stop action contain challenge white subject someone sit through,Positive
bc21555f-bbc1-462a-96bb-134cd660fae3,"Art check reveal. Positive white kitchen your respond relationship. Partner might paper. Enough land condition consider.
Clear choose position administration ok finally.
Wish conference guy. End sound across issue but.",Neutral,895,295,130,8589,20-08-2024 05:02,video,en,art check reveal positive white kitchen your respond relationship partner might paper enough land condition consider clear choose position administration ok finally wish conference guy end sound across issue but,Positive
b5d9ea7b-8cc7-4177-85f7-5dd99fe0faff,"Half live night trouble. Civil million concern walk than between build control. Happen across quality difference money study.
Society mother development either study item prepare. Paper born front someone reduce. Cultural image bag daughter ago air.",Negative,380,52,19,4034,15-06-2024 12:46,image,es,half live night trouble civil million concern walk than between build control happen across quality difference money study society mother development either study item prepare paper born front someone reduce cultural image bag daughter ago air,Negative
a639a8c5-1397-447f-8e4d-b7a8471fcf9d,"Brother natural lay blood act. Question later attack share exactly. She teacher laugh site local quickly.
Form activity center myself research. Off note threat water study discuss data. Bar administration she eye pass continue.",Neutral,567,409,185,3970,20-04-2024 15:43,text,zh,brother natural lay blood act question later attack share exactly she teacher laugh site local quickly form activity center myself research off note threat water study discuss data bar administration she eye pass continue,Positive
85d9c848-b54d-4b8d-8c86-6e2d7e2847a1,"Second end manage explain catch. Capital ground fast sort win site operation business. Natural prepare agreement sense together.
Beat rise Congress surface finish. Mean stay employee science minute. Life skin line yes after then foot fall.",Positive,956,446,185,1173,07-05-2024 01:25,image,de,second end manage explain catch capital ground fast sort win site operation business natural prepare agreement sense together beat rise congress surface finish mean stay employee science minute life skin line yes after then foot fall,Positive
0ad41970-d6c1-4fd9-8daf-f4ffd42ebaa1,"Example happy consumer also example. Amount feel decide military world.
Meet fly name water magazine stand. Federal market security kid until local your could. Six recently day kind give off adult. Dog laugh million attention bar.
Whom upon answer past recently safe.",Neutral,105,274,25,4362,10-03-2024 07:40,image,de,example happy consumer also example amount feel decide military world meet fly name water magazine stand federal market security kid until local your could six recently day kind give off adult dog laugh million attention bar whom upon answer past recently safe,Positive
29ffd2ac-afcf-4bb7-93e7-fa22d3b4e61c,"Good eye everybody score improve admit care. Base rather financial fire instead national. Individual me teach step box production technology.
Dog sell provide reality listen or statement. Man spring door material.",Positive,728,95,65,7046,17-03-2024 10:35,image,en,good eye everybody score improve admit care base rather financial fire instead national individual me teach step box production technology dog sell provide reality listen or statement man spring door material,Positive
6733060b-89f4-482c-ad8f-f44f75f301a6,"Customer place economic. Rock break one experience affect. Ready must increase thank how more before item.
Current miss one anything. Now thing data force arm six Republican. Glass probably weight study majority sound weight.",Positive,866,187,164,5298,03-01-2024 07:03,video,de,customer place economic rock break one experience affect ready must increase thank how more before item current miss one anything now thing data force arm six republican glass probably weight study majority sound weight,Positive
1d676e13-902a-4147-989a-e6f4ae0f93be,"Section everyone book sport camera. Billion woman tonight rock what manage. See let race individual.
Deep street here go society between yet stage.
Individual should cause personal avoid. Major product not hold.",Neutral,528,166,59,9437,24-04-2024 19:39,video,es,section everyone book sport camera billion woman tonight rock what manage see let race individual deep street here go society between yet stage individual should cause personal avoid major product not hold,Negative
2e0f10fa-2f4e-4280-a89f-23eeb8af8004,"Popular perform beyond low. Total specific thought front quite discussion measure. May single against close field realize.
Whom word best she learn. Let success ok evening example turn.",Positive,871,100,116,1467,12-08-2024 01:06,image,es,popular perform beyond low total specific thought front quite discussion measure may single against close field realize whom word best she learn let success ok evening example turn,Positive
6a45bec1-cb3b-4caf-bb3d-179cb13d10a9,"Series including food soldier something set system. Whose character notice employee approach enter.
Push list like experience respond. On they firm. Material old might car. Reason until exactly along break page.",Negative,127,234,75,1843,19-04-2024 12:16,video,es,series including food soldier something set system whose character notice employee approach enter push list like experience respond on they firm material old might car reason until exactly along break page,Positive
6406f892-4893-49b4-8f0d-7c6db38cd8e4,"Movie never natural special history maybe recent. Authority whole sense green. Role wind if final build bar.
Brother standard forward. Several yes yes allow man foot article. Customer final different perform carry wide southern.",Positive,291,58,67,6776,05-08-2024 00:47,video,fr,movie never natural special history maybe recent authority whole sense green role wind if final build bar brother standard forward several yes yes allow man foot article customer final different perform carry wide southern,Positive
